date,category,merchant,amount
2026-04-01,Food,McDonald's,18.5
2026-04-02,Transport,Opal,6.2
2026-04-03,Shopping,Uniqlo,89.0
2026-04-04,Food,Woolworths,45.7
2026-04-05,Entertainment,Netflix,17.99
2026-04-06,Food,Starbucks,8.5
2026-04-07,Transport,Uber,22.4
2026-04-08,Shopping,Kmart,35.6
2026-04-09,Bills,Electricity,75.0
2026-04-10,Food,Coles,52.3
2026-04-11,Entertainment,Spotify,11.99
2026-04-12,Shopping,Amazon,120.0
2026-04-13,Transport,Opal,5.8
2026-04-14,Food,Subway,12.5
2026-04-15,Bills,Internet,65.0
